NUM ACTIONNNEUR;N° DE SERIE ACTIONNEUR;TYPE ACTIONNEUR;TAILLE ACTIONNEUR;SENS UNIQUE;CONTACT STATUS;CDE MANU;PRES. ALIM;EFFET SIMPLE/DOUBLE;FOURNISSEUR ACTIONNEUR;TYPE CONTACTS
484;T 5550;MAXFLO;SM3;OMA;;;3 BARS MAX;SIMPLE;22;NC
485;D01A095 1026;B1CU 11/40;40;FMA;;1;8 BARS MAX;DOUBLE;25;NC
486;C0022575;B1JARU 8/25;8/25;OMA;FERM+OUVER;1;8-5 BARS MAX;SIMPLE;25;I/56
487;;BC 12/25;12;;;1;10 BARS MAX;DOUBLE;25;NC
488;06-410101-1;Minitork II;445;FMA;;;2-4 BARS MAX;SIMPLE;18;NC
489;62-5370-02-1;Camflex II;152 mm;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
490;82422;PremiAir 009;9;;FERM+OUVER;1;;DOUBLE;10;IS 5026
491;92571/001/2;10/35;10;;;1;10 BARS MAX;DOUBLE;25;NC
492;;B1JVAU8/25;;OMA;FERM+OUVER;;0 BARS MAX;SIMPLE;0;NC
493;350732;F79E-024M;24;OMA;;1;5-5 BARS MAX;SIMPLE;10;NC
494;;BC 6/15;6;;;1;8-3 BARS MAX;DOUBLE;25;NC
495;;BCM 12/25;;;;0;0 BARS MAX;DOUBLE;25;NC
496;350714;F79E-024M;24;FMA;;1;5-5 BARS MAX;SIMPLE;10;NC
497;D01A12210274;B1CU13/55;13/55;;;1;8-3 BARS MAX;DOUBLE;25;NC
498;;Régulactair 61c;61 C;;;0;3-6 BARS MAX;DOUBLE;2;NC
499;;STI SC/V 200-65;200;;;1;0 BARS MAX;DOUBLE;4;NC
500;380629;Régulactair 31C;31 C;;;1;3 BARS MAX;DOUBLE;2;NC
501;16493313;SNH 60/12;60/12;FMA;;1;8 BARS MAX;SIMPLE;21;NC
502;9511/164933-017;SNH 60/12;;FMA;;1;8 BARS MAX;SIMPLE;21;NC
503;;0;15;FMA;FERMETURE;0;0 BARS MAX;SIMPLE;0;NC
504;;;;;;;;;0;NC
505;;;15;FMA;;0;8 BARS MAX;SIMPLE;21;NC
506;;;;;;;;;0;NC
507;;;;;;;;;0;NC
508;;;;;;;;;0;NC
509;;F89E-032 DA;32;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;TVF-N2WGNMM00000N031
510;;F79E-036M;36;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;IFM V3 NAMUR
511;;FIG VPZZ600T1;150;;FERM+OUVER;1;5 BARS MAX;DOUBLE;6;IFM IS-5026
512;;B1CU17/55;;;FERM+OUVER;0;0 BARS MAX;DOUBLE;0;NC
513;D01A18410953;B1CU 11/40;11/40;FMA;FERM+OUVER;0;8-5 BARS MAX;DOUBLE;25;NC
514;R744 88721;Régulactair 101C;;;;;3-12 BARS MAX;DOUBLE;2;NC
515;J01A21510826;B1CU13/55;13/55;;;;0 BARS MAX;;25;NC
516;J01A22010342;B1CU13/55;13/55;;;;0 BARS MAX;;25;NC
517;J01A21510817;B1CU13/55;13/55;;;;0 BARS MAX;;25;NC
518;J01A22010334;B1CU13/55;13/55;;;;0 BARS MAX;;25;NC
519;J01A21510818;B1CU13/55;13/55;;;;0 BARS MAX;;25;NC
520;02-4848-01-1;CAMFLEX II 35-35202;"114 mm (4""1/2)";FMA;;;1-8 BARS MAX;SIMPLE;0;NC
521;;CAMFLEX II 35-35202;"114 mm (4""1/2)";FMA;;;1-8 BARS MAX;SIMPLE;0;NC
522;S/NO 3416638;PremiAIr 004;4;;;1;8-5 BARS MAX;DOUBLE;10;NC
523;S/NO 3416638;PremiAIr 004;4;;;1;8-5 BARS MAX;DOUBLE;10;NC
524;S/NO 3416638;PremiAIr 004;4;;;0;8 BARS MAX;DOUBLE;10;NC
525;S/NO 3416638;PremiAIr 004;4;;;0;8 BARS MAX;DOUBLE;10;NC
526;418319;796 002;2;;;1;8 BARS MAX;DOUBLE;10;NC
527;D01A18380487;B1CU 6/15;6/15;FMA;FERM+OUVER;0;8-5 BARS MAX;DOUBLE;25;NC
528;;;;;;;;;0;NC
529;;796 002;;;;0;7 BARS MAX;DOUBLE;10;NC
530;;796 002;;;;0;7 BARS MAX;DOUBLE;10;NC
531;;796 002;;;;;;;10;NC
532;;760 002;;;;;7 BARS MAX;DOUBLE;10;NC
533;;760 002;;;;;7 BARS MAX;DOUBLE;10;NC
534;S/NO 3416638;PremiAIr 004;4;;;1;8-5 BARS MAX;DOUBLE;10;NC
535;S/NO 3416638;PremiAIr 004;4;;;1;8-5 BARS MAX;DOUBLE;10;NC
536;S/NO 3416638;PremiAIr 004;4;;;;8 BARS MAX;DOUBLE;10;NC
537;S/NO 3416638;PremiAir 004;4;;;0;8 BARS MAX;DOUBLE;10;NC
538;305896;F79E-006M;6;;;1;8 BARS MAX;DOUBLE;10;NC
539;97647;F89E-052-NO;52;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
540;;796-036;36;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;IFM IS-5026
541;;796-024;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
542;67420;F79E-065;65;FMA;FERM+OUVER;1;8 BARS MAX;DOUBLE;10;IFM
543;;796-036;36;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;IFM IS-5026
544;;796-036;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
545;;796-036;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
546;;796-036;36;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;IFM IS-5026
547;49284;F79E-036;36;FMA;FERM+OUVER;1;8 BARS MAX;DOUBLE;10;IFM
548;;796-024;24;;OUVERTURE;0;8 BARS MAX;DOUBLE;10;IFM IS-5026
549;;796-024;24;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;IFM IS-5026
550;;;;;;;;;0;NC
551;49291;F79E-036;36;FMA;FERM+OUVER;1;8 BARS MAX;DOUBLE;10;IFM
552;;796-024;24;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;IFM IS-5026
553;222301;F89E-020;20;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;IFM IS-5026
554;;796-024;24;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;IFM IS-5026
555;;F79E-024M;24;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;IFM IS-5026
556;129242;F89E-020;20;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;Tyco IFM IS- 5026
557;347940;79E 36M;36;;;1;8 BARS MAX;DOUBLE;10;IFM
558;;796-036;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
559;;796-036;36;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;IFM IS-5026
560;;796-036;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
561;;796-036;36;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;IFM IS-5026
562;;796-036;36;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;IFM IS-5026
563;;796-036;36;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;IFM IS-5026
564;354835;F79E-036M;36;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;IFM IS-5026
565;781038;79E-06501XXOPM00;65;;FERM+OUVER;1;8 BARS MAX;DOUBLE;10;IFM IS-5026
566;;796-024;24;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;IFM IS-5026
567;49281;F79E-036;36;FMA;FERM+OUVER;1;8 BARS MAX;DOUBLE;10;IFM
568;;796-024;24;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;IFM IS-5026
569;;796-024;24;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;IFM IS-5026
570;;F79E;24;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;HK-14
571;;796-024;24;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;IFM IS-5026
572;;796-024;24;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;IFM IS-5026
573;359135;F79E-024M;24;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;IFM IS-5026
574;747577;F79E-036M;36;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;Tyco IFM IS- 5026
575;T4005753599,01;B1CU 6/15;6/15;FMA;;0;6 BARS MAX;DOUBLE;25;QN2NK05HDM
576;T40057536011;B1CU 6/15;6/15;FMA;FERM+OUVER;0;6 BARS MAX;DOUBLE;25;QN2NK05HDM
577;T40057536021;B1CU 6/15;6/15;FMA;FERM+OUVER;0;6 BARS MAX;DOUBLE;25;QN2NK05HDM
578;T40057536031;B1CU 6/15;6/15;FMA;FERM+OUVER;0;6 BARS MAX;DOUBLE;25;QN2NK05HDM
579;T4005753604,01;B1CU 6/15;6/15;FMA;FERM+OUVER;0;6 BARS MAX;DOUBLE;25;QN2NK05HDM
580;;;>125;;;;5-7 BARS MAX;;24;NC
581;;;>125;;;;5-7 BARS MAX;;24;NC
582;;;;;;;;;0;NC
583;;;;;;;;;0;NC
584;;;>125;;;;5-7 BARS MAX;;24;NC
585;;;;;;;;;0;NC
586;;;>125;;;;5-7 BARS MAX;;24;NC
587;;;;;;;;;0;NC
588;2032445;F89E-006 DA;;;;;8-3 BARS MAX;;10;NC
589;;;;;;;;;0;NC
590;2024607;F89E-014 DA;;;;;8-3 BARS MAX;;10;NC
591;2024607;F89E-014 DA;;;;;8-3 BARS MAX;;10;NC
592;2020103;F89D-141 DA;;;;;;;10;NC
593;2032443;F89E-006 DA;;;;;8-3 BARS MAX;;10;NC
594;2025829;F89D-004 DA;;;;;8-3 BARS MAX;;10;NC
595;2025832;F89D-004 DA;;;;;8-3 BARS MAX;;10;NC
596;2024102;F89D-004 DA;;;;;8-3 BARS MAX;;10;NC
597;;ND9100/I56;;;;;8-5 BARS MAX;;25;NC
598;;ND9100/I56;;;;;8-5 BARS MAX;;25;NC
599;;;;;;;;;0;NC
600;;;>125;;;;5-7 BARS MAX;;24;NC
601;;;;;;;;;0;NC
602;2025830;F89D-004 DA;;;;;8-3 BARS MAX;;10;NC
603;2025827;F89D-004 DA;;;;;8-3 BARS MAX;;10;NC
604;2025837;F89D-004 DA;;;;;8-3 BARS MAX;;10;NC
605;;;>125;;;;5-7 BARS MAX;;24;NC
606;;;>125;;;;5-7 BARS MAX;;24;NC
607;;;>125;;;;5-7 BARS MAX;;24;NC
608;;;>125;;;;5-7 BARS MAX;;24;NC
609;;;>125;;;;5-7 BARS MAX;;24;NC
610;;;>125;;;;5-7 BARS MAX;;24;NC
611;;;>125;;;;5-7 BARS MAX;;24;NC
612;179032;F89D-085 DA;;;;;8-3 BARS MAX;;10;NC
613;55990;F89D-085 DA;;;;;8-3 BARS MAX;;10;NC
614;;;;;;;;;0;NC
615;;;;;;;;;0;NC
616;;;;;;;;;0;NC
617;;;;;;;;;0;NC
618;;;;;;;;;0;NC
619;;;;;;;;;0;NC
620;;;;;;;;;0;NC
621;;;;;;;;;0;NC
622;;;;;;;;;0;NC
623;;;;;;;;;0;NC
624;;;;;;;;;0;NC
625;;;;;;;;;0;NC
626;;;;;;;;;0;NC
627;;;;;;;;;0;NC
628;;;;;;;;;0;NC
629;76168514/0120;ACTAIR R1122 1;12;;FERM+OUVER;0;10 BARS MAX;DOUBLE;2;LEF 430-00-22-16-01-F05-LC1
630;76168514/0120;ACTAIR R1122 1;12;;FERM+OUVER;0;10 BARS MAX;DOUBLE;2;LEF 430-00-22-16-01-F05-LC1
631;76168514/0120;ACTAIR R1122 1;12;;FERM+OUVER;0;10 BARS MAX;DOUBLE;2;LEF 430-00-22-16-01-F05-LC1
632;76168514/0120;ACTAIR R1122 1;12;;FERM+OUVER;0;10 BARS MAX;DOUBLE;2;LEF 430-00-22-16-01-F05-LC1
633;63.541505-1;;;FMA;;0;1-4 BARS MAX;;18;NC
634;64-9648-01-1;0;;FMA;;1;2-1 BARS MAX;SIMPLE;18;NC
635;62-5571-02-1;CAMFLEX II;;FMA;;1;1-4 BARS MAX;SIMPLE;18;NC
636;62-8734-05-1;0;;;;1;1-4 BARS MAX;SIMPLE;18;NC
637;;BC 6/25;;;;;0 BARS MAX;DOUBLE;25;NC
638;T 4570;Maxflo ;;FMA;;1;1.4 BARS MAX;SIMPLE;22;NC
639;F-10-,212500-001-03;CAMFLEX II;;FMA;;1;1-4 BARS MAX;SIMPLE;18;NC
640;02-4848-01-1;CAMFLEX II;;FMA;;1;1-8 BARS MAX;SIMPLE;18;NC
641;02-4848-01-2;CAMFLEX II;;FMA;;1;1-8 BARS MAX;SIMPLE;18;NC
642;62-873404-1;8013-357;;;;;1-4 BARS MAX;;0;NC
643;7802089;SP 15;;;;;8 BARS MAX;;21;NC
644;02-4848-01-1;CAMFLEX II;;FMA;;1;1-8 BARS MAX;SIMPLE;18;NC
645;02-4848-01-2;CAMFLEX II;;FMA;;1;1-8 BARS MAX;SIMPLE;18;NC
646;A01A04211408;B1CU;6/15;;;1;8-3 BARS MAX;DOUBLE;25;NC
647;K01A08263016;B1CU 6/25;6/25;;;1;8-3 BARS MAX;DOUBLE;25;NC
648;D01A09030104;B1CU 11/40;11/40;;;1;8-3 BARS MAX;DOUBLE;25;NC
649;64-2408-03-1;CAMFLEX II;114 mm;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
650;;B1CU;17;;;0;8-5 BARS MAX;DOUBLE;36;VALMET METSO
651;EU 03195097;1052;;OMA;;;3-8 BARS MAX;SIMPLE;12;NC
652;EU03232878;1052;33;OMA;;;3-8 BARS MAX;SIMPLE;12;NC
653;;CAMFLEX II;114 mm;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
654;;CAMFLEX II;114 mm;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
655;;MiniTork II;;FMA;;1;1.5 BARS MAX;SIMPLE;18;NC
656;;BC 6/15;6/15;;;0;8-5 BARS MAX;DOUBLE;25;NC
657;37412;Minitork II;;FMA;;;1-8 BARS MAX;SIMPLE;18;NC
658;48-21114;SIGMA F;;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
659;;MiniTork II;;FMA;;1;1-7 BARS MAX;SIMPLE;18;NC
660;63 541 504-1;Sigma F48-21114;220 mm;OMA;;;2-41 BARS MAX;SIMPLE;18;NC
661;337020;F79E-024M;24;FMA;FERM+OUVER;1;6 BARS MAX;SIMPLE;10;NC
662;EU03271681;1052;33;OMA;;;3-8 BARS MAX;;12;NC
663;04237501-1;Micropak;;FMA;;;1-8 BARS MAX;SIMPLE;18;NC
664;16227260;DR 00150U;;;;1;0 BARS MAX;DOUBLE;0;NC
665;16227262;DR 00150U;;;;1;0 BARS MAX;DOUBLE;0;NC
666;D01A12170492;B1CU13/55;13/55;;;;8 BARS MAX;DOUBLE;25;NC
667;12/21530;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
668;;Maxflo ;SM3;OMA;;;3 BARS MAX;SIMPLE;22;NC
669;64-2408-02-1;CAMFLEX II;114 mm;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
670;05/12294;SR 20-0/5;20;OMA;FERM+OUVER;0;10 BARS MAX;SIMPLE;21;LIMITBOX P6
671;;BC;12/25;;;1;10 BARS MAX;DOUBLE;25;NC
672;T 5547;Maxflo ;SM3;OMA;;;3 BARS MAX;SIMPLE;22;NC
673;T 5543;Maxflo ;SM3;OMA;;;3 BARS MAX;SIMPLE;22;NC
674;21-7037-02;0;;FMA;;;2-7 BARS MAX;;18;NC
675;02-4848-02-1;CAMFLEX 35-35202;"152 mm (6"")";FMA;;;1-8 BARS MAX;SIMPLE;0;NC
676;02-4848-02-2;CAMFLEX II 35-35202;"152 mm (6"")";FMA;;;1-8 BARS MAX;SIMPLE;18;NC
677;;BC 6/25;6;;;1;8-4 BARS MAX;DOUBLE;25;NC
678;A9600303;SC/V;;FMA;;1;7 BARS MAX;DOUBLE;4;NC
679;64-9270-01-1;Sigma F48-21114;;OMA;;;1-4 BARS MAX;SIMPLE;18;NC
680;66-6939-01-1;Camflex II;152 MM;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
681;;BC 6/20;6;;;1;8-5 BARS MAX;DOUBLE;25;NC
682;A1704770;0;;FMA;;1;150 BARS MAX;DOUBLE;4;NC
683;;SR 60-6/5;60;FMA;FERM+OUVER;0;10 BARS MAX;SIMPLE;21;LIMITBPX P6
684; ;790-024S;24;OMA;FERM+OUVER;1;5-5 BARS MAX;SIMPLE;10;IFM IS-5026
685;;;;OMA;;1;1-4 BARS MAX;SIMPLE;18;NC
686;451399;PremiAir 025;;;FERM+OUVER;0;0 BARS MAX;DOUBLE;10;Tyco IFM IS- 5026
687;;0;>125;;;;5-7 BARS MAX;;24;NC
688;2032964;F89E-006  DA;;;;0;8-3 BARS MAX;DOUBLE;10;NC
689;82457;PremiAir  009;9;;FERM+OUVER;0;0 BARS MAX;DOUBLE;10;IS 5026
690;F-12-215682-001-06;CAMFLEX II;;FMA;;1;1-4 BARS MAX;SIMPLE;18;NC
691;F-12-215682-001-02;CAMFLEX II;;FMA;;1;1-4 BARS MAX;SIMPLE;0;NC
692;F-13-218071-001-02;CAMFLEX II;;FMA;;1;1-4 BARS MAX;SIMPLE;18;NC
693;F-12-215682-001-04;CAMFLEX II;;FMA;;1;1-4 BARS MAX;SIMPLE;18;NC
694;F-13-218071-001-01;CAMFLEX II;;FMA;;1;1-4 BARS MAX;SIMPLE;18;NC
695;F-12-215682-001-01;CAMFLEX II;;FMA;;1;0 BARS MAX;SIMPLE;18;NC
696;F-12-215682-001-05;CAMFLEX II;;FMA;;1;1-4 BARS MAX;SIMPLE;18;NC
697;F-13-218071-001-03;CAMFLEX II;;FMA;;1;1-4 BARS MAX;SIMPLE;18;NC
698;F-12-215682-001-03;CAMFLEX II;;FMA;;1;1-4 BARS MAX;SIMPLE;18;NC
699;49868;778-006;;;;1;0 BARS MAX;SIMPLE;17;NC
700;370892;F79E-002;;;;0;830 BARS MAX;DOUBLE;17;NC
701;726381;PremiAir 004;;;;0;0 BARS MAX;DOUBLE;10;NC
702;21/25718;0;;;;0;10 BARS MAX;DOUBLE;21;NC
703;416621;PremiAir 004;;;;0;0 BARS MAX;DOUBLE;10;NC
704;2089967;F89E-004  DA;;;;0;8-3 BARS MAX;DOUBLE;10;NC
705;2128115;F89E-004 DA;;;;0;8-3 BARS MAX;DOUBLE;17;NC
706;2024616;F89E-014;;;FERM+OUVER;0;0 BARS MAX;DOUBLE;10;IS 5026
707;23/26639;DR 10-2 C11;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;IS 5026
708;00/3452;SR20-0/4;20;;;;0 BARS MAX;DOUBLE;21;NC
709;21/25718;DR 20-0-0;;;;;10 BARS MAX;DOUBLE;10;NC
710;860118;F79E;24;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;NC
711;850063;F79E;24;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;NC
712;213092;Régulactair;61 B;FMA;;1;3-9 BARS MAX;DOUBLE;2;NC
713;9972324707/600;Dynactair;25;OMA;FERM+OUVER;0;8 BARS MAX;DOUBLE;2;Amtrobox
714;;ACTAIR R1124;50;;FERM+OUVER;0;5 BARS MAX;DOUBLE;2;IFM IS-5026
715;;ACTAIR R1124;50;;FERM+OUVER;0;5 BARS MAX;DOUBLE;2;IFM IS-5026
716;1046;PA 30;30;;;;3-10 BARS MAX;DOUBLE;2;NC
717;;4001 A;;;;;0 BARS MAX;DOUBLE;20;NC
718;860112;F79E;24;;;0;8 BARS MAX;DOUBLE;10;NC
719;;4001 A;;;;;0 BARS MAX;DOUBLE;20;NC
720;;796-003;3;;;1;7 BARS MAX;DOUBLE;10;NC
721;;796-003;3;;;1;7 BARS MAX;DOUBLE;10;NC
722;;796-003;3;;;1;7 BARS MAX;DOUBLE;10;NC
723;7802089;SP 15;15;FMA;;0;8 BARS MAX;SIMPLE;21;NC
724;9506460001;SNH 25/A/N3;25;;;;8 BARS MAX;DOUBLE;21;NC
725;D01A17260421;B1JAU10/40;10/40;OMA;;1;8-3 BARS MAX;SIMPLE;25;NC
726;;F79E 006;6;;;1;8 BARS MAX;DOUBLE;34;NC
727;1560861;F79E 006;6;;;1;8 BARS MAX;DOUBLE;34;NC
728;76045403/0120;ACTAIR;25;;;1;9 BARS MAX;DOUBLE;2;NC
729;82439;PREMIAIR 009;9;;FERM+OUVER;0;;DOUBLE;10;IS 5026
730;05/12294;SR 20-0/5;20;OMA;FERM+OUVER;0;0 BARS MAX;SIMPLE;21;LIMITBOX P6
731;02016091 N;AT100DA F05-N-D-14;;;;0;6 BARS MAX;DOUBLE;29;NC
732;7306706;AT101DA F05/F07-N-D-14;;;;1;8 BARS MAX;DOUBLE;29;NC
733;9972324707/ 700;ACTAIR 12;12;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;Amtrobox
734;9972324707/ 700;ACTAIR 12;12;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;Amtrobox
735;12/21530;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
736;17/23713;DR 10-0 C11;;;;1;10 BARS MAX;DOUBLE;10;NC
737;9972324707/800;ACTAIR R1121;6;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;AMTROBOX
738;9525740017;PE750/A/N12;;FMA;;1;10 BARS MAX;SIMPLE;0;NC
739;416620;PREMIAIR 025;4;;;0;0 BARS MAX;DOUBLE;10;NC
740;.71000659;SP28;60;FMA;FERM+OUVER;0;10 BARS MAX;SIMPLE;21;LIMITBOX P6
741;05/12294;SR60-6/5;60;FMA;FERM+OUVER;0;10 BARS MAX;SIMPLE;21;LIMITBOX P6
742;305897;F79E-006M;6;;;0;0 BARS MAX;DOUBLE;10;NC
743;278880;976-090S;90;OMA;FERM+OUVER;1;5-5 BARS MAX;SIMPLE;10;IFM IS-5026
744;2032459;F89E-006 DA;;;FERM+OUVER;;8-3 BARS MAX;DOUBLE;10;ISO 5026
745;153777;F89E-020 SR08;;;FERM+OUVER;0;8-3 BARS MAX;SIMPLE;10;NC
746;;PREMIAIR 025;25;OMA;FERM+OUVER;0;8 BARS MAX;SIMPLE;10;IS 5089
747;153775;F89E-020;20;;FERM+OUVER;0;8-3 BARS MAX;SIMPLE;10;ISO 5026
748;;F89E-020 SR08;25;OMA;FERM+OUVER;0;8-3 BARS MAX;SIMPLE;10;NC
749;;PREMIAIR 025;;OMA;FERM+OUVER;0;8-3 BARS MAX;SIMPLE;10;NC