TYPE CORPS;N° DE SERIE CORPS;DN;PN;CV;NORME BRIDES;CODE;MATIERE ARBRE;MATIERE SIEGE;MATIERE  ORG. REGLANT;M;MATIERE GARNITURES;TYPE GARNITURES;FOURNISSEUR CORPS;NUM CORPS
Camflex II;02-4848-01-1;50;50;50;ISO PN 50;;ANSI 316;STEL n°6;ANSI 316;A216 GR WCC;;;;520
CAMFLEX II;02-4848-01-2;50;50;50;ISO PN 50;;ANSI 316;STEL n°6;ANSI 316;A216 GR WCC;;;;521
PREMISEAL 38DW-112; ;40;16;;;;Inox;EPDM;Inox;GJS-400-15;Joint à lèvre;;10;522
PREMISEAL 38DW-112;;40;16;;;;Inox;EPDM;Inox;GJS-400-15;Joint à lèvre;;10;523
PREMISEAL 38DW-112;;40;10;;;;;EPDM;;GJS-400-15;;;10;524
PREMISEAL 38DW-112;;40;10;;;;;EPDM;;GJS-400-15;;;10;525
FIG 38 102;552714;32;16;;;;Inox;EPDM;Inox;Fonte GG25;Joint à lèvre;;10;526
RAA050AS;C0001121;50;40;;;;;316SS;329SS;CF8M;;;25;527
;;80;10;;;;;;;;;;;528
FIG 14 102;;50;10;;;;Inox;EPDM;Inox 316;Fonte FT 25;;;10;529
FIG 14 102;;50;10;;;;Inox;EPDM;Inox 316;Fonte FT 25;;;10;530
FIG 14 102;;50;10;;;;Inox;EPDM;Inox 316;Fonte FT 25;;;10;531
FIG 14 102;;50;10;;;;Inox;EPDN;Inox 316;Fonte FT 25;;;10;532
FIG 14 102;;50;10;;;;Inox;EPDN;Inox 316;Fonte FT 25;;;10;533
PREMISEAL 38DW-112;;50;16;;;;Inox;EPDM;Inox;GJS-400-15;Joint à lèvre;;10;534
PREMISEAL 38DW-112;;50;16;;;;Inox;EPDM;Inox;GJS-400-15;Joint à lèvre;;10;535
PREMISEAL 38DW-112;;50;10;;;;;EPDM;;GJS-400-15;;;10;536
PREMISEAL 38DW-112;;50;10;;;;;EPDM;;GJS-400-15;;;10;537
FIG 14 102;;100;10;;;;Inox;EPDM;Inox;Fonte GG25;Joint à lèvre;;10;538
FIG 14 102;;300;10;;;;;EPDM;;GG 25;;;10;539
FIG 14 102;;300;10;;;;INOX;EPDM;Inox;GG 25;Joint à lèvre;;10;540
FIG 14 102;;300;10;;;;;EPDM;;GG 25;;;10;541
14 102;04/393299;300;10;;;;INOX;EPDM;INOX;GJL-250;joint à lèvre;;10;542
FIG 14 102;;250;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;543
FIG 14 102;;250;10;;;;;EPDM;;GG 25;;;10;544
FIG 14 102;;250;10;;;;;EPDM;;GG 25;;;10;545
FIG 14 102;;250;10;;;;INOX;EPDM;INOX;GG 25;;JOINT A LEVRES;10;546
14 102;04/406369;250;10;;;;INOX;EPDM;INOX;GJL-250;joint à lèvre;;10;547
FIG 14 102;;200;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;548
FIG 14 102;;200;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;549
;;200;10;;;;;;;;;;;550
FIG 14 102;03/356029;200;10;;;;INOX;EPDM;INOX;GJL-250;joint à lèvre;;10;551
FIG 14 102;M454790;200;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;552
FIG 14 102;;200;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;553
FIG 14 102;;200;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;554
FIG 14 102;;200;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;555
FIG 14 102;18617;200;10;;;79E03601XX0PM00;INOX;EPDM;INOX;FONTE GG25;;;10;556
14 102;99252;300;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;557
FIG 14 102;;300;10;;;;;EPDM;;GG 25;;;10;558
FIG 14 102;;300;10;;;796 036;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;559
FIG 14 102;;300;10;;;;;EPDM;;GG 25;;;10;560
FIG 14 102;99252;300;10;;;;INOX;EPDM;INOX;GG 25;joint à lèvre;;10;561
FIG 14 102;;300;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;562
FIG 14 102;;300;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;563
FIG 14 102;509962;300;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;564
FIG 14 102;;300;16;;;;416SS;EPDM;316 SS;Fonte GS;Joint à lèvre;;10;565
FIG 14 102;;200;10;;;;INOX;EPDM;INOX;GG 25;joint à lèvre;;10;566
FIG 14 102;03/356025;200;10;;;;INOX;EPDM;INOX;GJL-250;joint à lèvre;;10;567
FIG 14 102;;200;10;;;;INOX;EPDM;Inox;GG 25;Joint à lèvre;;10;568
FIG 14 102;;200;10;;;;INOX;EPDM;INOX;GG 25;;JOINT A LEVRES;10;569
FIG 14 102;;200;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;570
FIG 14 102;;200;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;571
FIG 14 102;;200;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;572
FIG 14 102;507969;200;10;;;;INOX;EPDM;INOX;GG 25;Joint à lèvre;;10;573
FIG 14 102;23980;200;10;;;79E03601XX0PM00;INOX;EPDM;INOX;FONTE GG25;joint à lèvre;;10;574
L12A08AA;J56669238;80;40;;;;INOX;INCOLOY825;316SS;CF8M;;;25;575
L12A08AA;J56669231;80;40;;;;INOX;INCOLOY825;316SS;CF8M;;;25;576
L12A08AA;J56261822;80;40;;;;INOX;INCOLOY825;316SS;CF8M;;;25;577
L12A08AA;J56788776;80;40;;;;INOX;INCOLOY825;316SS;CF8M;;;25;578
L12A08AA;J56669235;80;40;;;;INOX;INCOLOY825;316SS;CF8M;;;25;579
VG6400 GX5CrNIMo 19-11-2 (inox);OF152513;150;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;EPDM;Inox X5CrNiMo 17-12-2;;;;24;580
VG6400 GX5CrNIMo 19-11-2 (inox);OF152511;250;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;EPDM;Inox X5CrNiMo 17-12-2;;;;24;581
VG6400 GX5CrNIMo 19-11-2 (inox);OF152521;400;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;NBR;Stainless steel X5CrNi 18-10;;;;24;582
VG6400 GX5CrNIMo 19-11-2 (inox);OF152510;250;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;NBR;Stainless steel X5CrNi 18-10;;;;24;583
VG6400 GX5CrNIMo 19-11-2 (inox);OF152511;250;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;EPDM;Inox X5CrNiMo 17-12-2;;;;24;584
A536 65-45-12 (FIG. 320);32W0050-D0S0SGE1M4I;50;16;;;;INOX;;INOX;;;;17;585
VG6400 GX5CrNIMo 19-11-2 (inox);OF153249;80;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;EPDM;Inox X5CrNiMo 17-12-2;;;;24;586
A536 65-45-12 (FIG. 320);32W0080-D0S0SGE1M4I;80;16;;;;INOX;;INOX;;;;17;587
A536 65-45-12 (FIG. 320);32W0080-D0S0SGE1M4I;80;16;;;;INOX;;INOX;;;;17;588
Fonte (FIG. 320);F455 WM-009;350;;;;;INOX;;INOX;;;;17;589
Fonte (FIG. 320);32W0150-D0S0SGE1M4I;150;16;;;;INOX;;INOX;;;;17;590
Fonte (FIG. 320);32W0150-D0S0SGE1M4I;150;16;;;;INOX;;INOX;;;;17;591
Fonte ;20/317321050 1;350;25;;;;INOX;;INOX;;;;21;592
Fig 320-112;?;100;16;;;;INOX;;INOX;;;;17;593
INOX;;25;10;;;;;;;;;;16;594
INOX;;25;10;;;;;;;;;;16;595
INOX;;25;16;;;;;;;;;;16;596
;S4005120840. 01;350;25;;;;;;;;;;25;597
CF8M;S4005081217. 06;100;25;;;;;;;;;;25;598
A536 65-45-12 (FIG. 320);32W0050-D0S0SGE1M4I;50;16;;;;INOX;;INOX;;;;17;599
VG6400 GX5CrNIMo 19-11-2 (inox);OF152511;250;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;EPDM;Inox X5CrNiMo 17-12-2;;;;24;600
Fonte (FIG. 320);F455 WM-009;350;;;;;INOX;;INOX;;;;17;601
INOX;3040000639-40;32;63;;;;;;;;;;16;602
INOX;3040000639-40;32;63;;;;;;;;;;16;603
INOX;KLG-20/12;32;63;;;;;;;;;;16;604
VG6400 GX5CrNIMo 19-11-2 (inox);OF152513;150;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;EPDM;Inox X5CrNiMo 17-12-2;;;;24;605
VG6400 GX5CrNIMo 19-11-2 (inox);OF152513;150;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;EPDM;Inox X5CrNiMo 17-12-2;;;;24;606
VG6400 GX5CrNIMo 19-11-2 (inox);OF152513;150;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;EPDM;Inox X5CrNiMo 17-12-2;;;;24;607
VG6400 GX5CrNIMo 19-11-2 (inox);OF152513;150;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;EPDM;Inox X5CrNiMo 17-12-2;;;;24;608
VG6400 GX5CrNIMo 19-11-2 (inox);OF152513;150;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;EPDM;Inox X5CrNiMo 17-12-2;;;;24;609
VG6400 GX5CrNIMo 19-11-2 (inox);OF152517;200;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;EPDM;Inox X5CrNiMo 17-12-2;;;;24;610
VG6400 GX5CrNIMo 19-11-2 (inox);OF153248;80;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;EPDM;Inox X5CrNiMo 17-12-2;;;;24;611
Fonte ;20/317321030 2;250;25;;;;INOX;;INOX;;;;21;612
Fonte ;20/317321030 3;250;25;;;;INOX;;INOX;;;;21;613
VG6400 GX5CrNIMo 19-11-2 (inox);OF152521;400;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;NBR;Stainless steel X5CrNi 18-10;;;;24;614
VG6400 GX5CrNIMo 19-11-2 (inox);OF152514;80;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;NBR;Stainless steel X5CrNi 18-10;;;;24;615
VG6400 GX5CrNIMo 19-11-2 (inox);OF152509;250;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;NBR;Stainless steel X5CrNi 18-10;;;;24;616
VG6400 GX5CrNIMo 19-11-2 (inox);OF152509;250;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;NBR;Stainless steel X5CrNi 18-10;;;;24;617
VG6400 GX5CrNIMo 19-11-2 (inox);OF153251;150;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;NBR;Stainless steel X5CrNi 18-10;;;;24;618
VG6400 GX5CrNIMo 19-11-2 (inox);OF153250;150;10;;EN1092-2 et DIN 2501 : ISO PN10;;Inox 13%Cr;NBR;Stainless steel X5CrNi 18-10;;;;24;619
A536 65-45-12 (FIG. 320);32W0050-D0S0SGE1M4I;50;16;;;;INOX;;INOX;;;;17;620
A536 65-45-12 (FIG. 320);32W0050-D0S0SGE1M4I;50;16;;;;INOX;;INOX;;;;17;621
A536 65-45-12 (FIG. 320);32W0050-D0S0SGE1M4I;50;16;;;;INOX;;INOX;;;;17;622
FIG 320 112;?;150;16;;;;INOX;;INOX;;;;17;623
A536 65-45-12 (FIG. 320);32W0050-D0S0SGE1M4I;50;16;;;;INOX;;INOX;;;;17;624
A536 65-45-12 (FIG. 320);32W0050-D0S0SGE1M4I;50;16;;;;INOX;;INOX;;;;17;625
FIG 320 112;?;150;16;;;;INOX;;INOX;;;;17;626
FIG 320 112;?;150;16;;;;INOX;;INOX;;;;17;627
A536 65-45-12 (FIG. 320);32W0200-D0S0SGE1M4I;200;16;;;;INOX;;INOX;;;;17;628
ISORIA 10;76168514/0110;150;10;;;3T 6K 3G XA;INOX 13% (6K);XA;FGS 400.15 Revêtu plyuréthane;GG 25 (3t);;;2;629
ISORIA 10;76168514/0110;150;10;;;3T 6K 3G XA;INOX 13% (6K);XA;FGS 400.15 POLYRUR. (3G);GG 25 (3T);;;2;630
ISORIA 10;76168514/0110;150;10;;;3T 6K 3G XA;INOX 13% (6k);XA;FGS 400.15 POLYRUR. (3G);GG 25 (3T);;;2;631
ISORIA 10;76168514/0110;150;10;;;3T 6K 3G XA;INOX 13% (6K);XA;FGS 400.15 POLYRUR. (3G);GG 25 (3T);;;2;632
48-21124;63.541505-1;25;ISO PN100;;;;;;;A216 GR WCC;;;18;633
;;25;;;;;;;;;;;18;634
35-35202;;25;10;;;;;;;A351 GR CF8M;;;18;635
35 - 35202;62-8734-05-1;40;; ;;;;;;;;;18;636
L12A150AA;;150;;;;;;;;;;;25;637
Maxflo;;150;;;;;;;;;;;22;638
35-35212;;25;ISO PN100;;;;;;;A351 GR CF8M;;;18;639
;;50;;;;;;;;;;;18;640
;;50;;;;;;;;;;;18;641
;;;;;;;;;;;;;;642
;;;;;;;;;;;;;;643
;;50;;;;;;;;;;;18;644
;;50;;;;;;;;;;;18;645
SPHERIQUE R1;HO18911;50;25;;;RAA050AS;;STEL;329;CF8M;PTFE;;25;646
LW;;80;;;;LW7LBA080AAJAT;;INCOLOY 824;316 SS;CF8M;;;25;647
LW;;200;;;;LW7LBA200AAJAT;;INCOLOY 825;316 SS;CF8M;;;25;648
35-35202;;25;ANSI 600 RF;;;;;316;STEL 6;A216 GR WCC;PTFE/KEV;;18;649
L12A;;350;25;;;;;;INOX 316SS;CF8M;;;25;650
V 500;;50;40;;;;;COCR 6;COCR 6;A216 WCC;PTFE;;12;651
V 500;EU03232878;50;40;57,4;;;;CDCR 6;;WCC;PTFE/CARB;1R5795X0012;12;652
35-35212;F-10-212500-001-03;25;ISO PN100;15;;;ANSI 316;STEL n°6;STEL 6;A351 GR CF8M;;;18;653
35-35212;F-10-212500-001-03;25;ISO PN100;15;;;ANSI 316;STEL n°6;STEL 6;A351 GR CF8M;;;18;654
 ;60.238101-1;150;10;;;;;;;A351 GR CF8M;;;18;655
RI;;25;;;;R1LA 01 AJJL;;NELAL;329SS;CF8M;;;25;656
serie 37200;;250;10;;;;;;A351 GR CF8M;;PTFE/CARB;3260 LM LATTYFLON;18;657
;;50;ISO PN100;15;;;;AISI316 STEL.E;AISI316 STEL.E;A351 GR CF8M;;;18;658
 ;61-860906-2;150;10;;;;;;;A216 GR WCC;;;18;659
;;50;50;26;ISO E1-E1;;ANSI 410;AISI 410;ANSI 410;A216 GR WCC;;;18;660
FIG 14 102;;100;10;;;;INOX;EPDM;INOX;FONTE GG25;;JOINT A LEVRES;10;661
V 500;EU03271681;25;cl 300;5,01;PN50 DIN E1;rR 30006;XM-19 SST;ALLOY 6;ALLOY 6;WCC;PTFE;;12;662
Série 29000;;25;250;2,3;Taraudée 34 mm;;;ASTM A564 Gr 630;316;ASTM A182 Gr F316;Téflon;;18;663
924B;176 063;150;16;;;;Inox;EPDM-FDA;CFM 8;Fonte;;;ABO Valve;664
924B;176 071;150;16;;;;Inox;EPDM-FDA;CFM 8;Fonte;;;ABO Valve;665
L12;L12A200AAT;200;;;;;;;;;;;25;666
RTS 68411;14/699228 4;20;80;;Taraudé 3/4;;GX2CrNiMo 17-12-2;PTFE;GX2CrNiMo 17-12-2;GP 240 GH;PTFE/CARB 25%;;21;667
Maxflo;T 8009;80;;;;MTL 011A131A;;PTFE;17-4 PH;A216 WCB;PTFE;Rainex;22;668
35-35202;;25;ANSI 600 RF;;;;;316;STEL 6;A216 GR WCC;PTFE/CARB;LATTYFLON 3260LM;18;669
RTS 67445A;05/232842 1;32;10;;ISO PN 10 A 40;;;;;;;;21;670
L1C;;200;;;;L1CMA 08 AAJA;SS 329 (J);INCOLOY 825 (A);CF8M (A);CF8M (A);PTFE;;25;671
Maxflo;;150;10;;;MTPD - 11A111E;;F 316;17-4 PH;A216 WCB;PTFE;;22;672
Maxflo ;;200;10;;;MTQD 11A111E;;F 316;17-4 PH;A216 WCB;PTFE;;22;673
8821714;N-13-8251-001-01;80;10;;;;;316 ST;316 ST;CF8M;;;18;674
CAMFLEX II;02-4848-02-1;80;50;135;ISO PN 50;;ANSI 316;STEL n°6;ANSI 316L;A216 GR WCC;;;;675
CAMFLEX II;02-4848-02-2;80;50;135;ISO PN 50;;ANSI 316;STEL n°6;ANSI 316L;A 216 GR WCC;CARB/TEFLON;3260 LM;18;676
CK;825W-51-2236MT;150;10;;;;1.4571;MTFE;1,4408;10 619;PTFE;;25;677
VSC-90B;275014-1;P1: 150 P2: 200 P3: 25;P1: 100 P2: 50 P3: 100;;;;;13CrMO44/HS25;X19CrMOVNbN111;SS 142224;GRAPHITE;;4;678
Série 21 000;;25;50;3,8;ISO PN50 B1;;;;;A216 GR WCC;CARBONE/PTFE;LATTY 3260 LM;18;679
;;80;ANSI 600;;;;;AnSI 316 L STEL;;A216 GR WCC;;;18;680
R1;359244;100;25;;;R1LA 04 AJJL;329 SS;316+CELS 50NB;329 SS;CF8M;PTFE;;25;681
VST-56BSE;A17013SE-01;;;;;DET/DES 45/4 BARS;;;;;;;4;682
RTS 67442A;05/232846 1;80;10;;;;;;;;;;21;683
FIG 14 102; ;150;10;;;;INOX;EPDM;INOX 316;FONTE FT125;;JOINT A LEVRES;10;684
35-35202;;25;ANSI 600 RF;2,8;;;;;;;;;18;685
FIG 320 112;;200;10;;;;INOX;EPDM;;;;;10;686
VG6400 GX5CrNIMo 19-11-2 (inox);0F152519;300;10;;;;Inox 13%Cr;NBR;Inox X5CrNiMo 17-12-2;;;;24;687
32W0080-DOS0SGE1M41;10036285-3;80;16;;;;;;;A536 65 45 12;;;17;688
;30949730013;100;10 bar;;;;;;;EN-GJL-250;;;17;689
35-35212;;25;;2,8;;;;;;A351 GR CF3M;;;18;690
35-35212;;25;;2,8;;;;;;A351 GR CF3M;;;18;691
35-35212;;25;;2,8;;;;;;A351 GR CF3M;;;18;692
35-35212;;25;;2,8;;;;;;A351 GR CG3M;;;18;693
35-35212;;25;;2,8;;;;;;A351 GR CF3M;;;18;694
35-35212;;25;;2,8;;;;;;A351 GR CF3M;;;18;695
35-35212;;25;;2,8;;;;;;A351 GR CF3M;;;18;696
35-35212;;25;;2,8;;;;;;A351 GR CF3M;;;18;697
35-35212;;25;;2,8;;;;;;A351 GR CF3M;;;18;698
Fig 320-112;;50;16 bar;;;;;;;DI M.P.W.P;;;17;699
Fig.322;;50;16 bar;;;;;;;DI M.P.W.P;;;17;700
;GRW D12E M1;50;16;;;;;;;GSJ-400-15;;;17;701
RTS 68452;21/322798060 1;40;40;;;;;;;;;;21;702
;00/2885988;50;;;;;;;;GJS-400-45;;;17;703
32W0050-D0S..;10045976-34;50;16;;;;;;;A536 65-45-12;;;17;704
32-0050W0MB;10086158-2;50;6;;;;;;;A536 65-45-12;;;10;705
32W0450-D0S0SGE1M41;10036224-67;150;16 bar;;;;;;;A536 65-45-12;;;17;706
RTS 68412;23/328637070 9;20;115 bar;;;;;;;;;;21;707
FIG 68241;4847802;32;10;;ISO PN10 A 40;;;;;316L;;;21;708
RTS 68452;21/322798060 2;40;40;;;;;;;;;;21;709
FIG 14 102;;150;10;;;;INOX;EPDM;INOX;GJL-250;;;10;710
FIG 14 102;;150;10;;;;INOX;EPDM;INOX;GJL-250;;;10;711
Gamma;;500;10;;;;;;;;;;2;712
DANAIS 150;.9972551899100;150;10;;;66E 6F B2B;;;;;;;2;713
DANAIS TYPE 1;;200;10;;;;INOX 17.4;INOX 301;inox 18 12;inox 18.12;;;2;714
DANAIS TYPE 1;;200;10;;;;INOX 17.4;INOX 301;inox 18 12;inox 18.12;;;2;715
GAMMA;;200;10;;;3T 6P 3G XV;;;;;Jointure torique;;2;716
;;20;;;;;;;;;;;20;717
FIG 14 102;;150;10;;;;INOX;EPDM;INOX;GG25;Joint à lèvre;;10;718
; ;20;;;;;;;;;;;20;719
FIG 14 102;;50;10;;;;inox;EPDM;316;ft 25;joint à lèvre;;10;720
FIG 14 102;;50;10;;;;inox;EPDM;316;ft 25;joint à lèvre;;10;721
FIG 14 102;;50;10;;;;inox;EPDM;316;ft 25;joint à lèvre;;10;722
;7802089;40; ;;;;;;; ;;;21;723
FIG 68211A;15 744 201;15;;;FILET 15/21;;;;;316 L;;;21;724
LW7LBA200AAJAT;C0002379;200;25;;;;239SS;INCOLOY 825;316SS;CF8M;;;25;725
;;50;40;;;;;;;;;;34;726
;;50;40;;;;;;;;;;34;727
ISORIA 10;;200;10;;;1MT 19 3T 6K6 XV;;;;;;;2;728
OPTISEAL FIG 14-102;03/284319;100;10;;;PRA00901XXOPM00;INOX;EPDM;INOX;EN-GJL-250;Joint à lèvre;;10;729
RTS 68442A;05/232845 1;25;10;;;;;;;;;;21;730
Starline 233 SGS;;15;40;;DIN 3443 FORM A;;;PTFE chargé;F 316;A 105N;;;29;731
Starline 233 SGS;;15;40;;;;;;F 316;LF2;;;29;732
ISORIA 10; ;150;10;;;3G 6K 6XV;;;;;;;2;733
ISORIA 10; ;150;10;;;3G 6K 6XV;;;;;;;2;734
RTS 68411;14/689229 3;10;80;;Taraudé 3/8ème;;GX2CrNiMo 17-12-2;PTFE;GX2CrNiMo 17-12-2;GP 240 GH;PTFE/CARB 25%;;21;735
RTS 68411;17/789730 1;10;80;;FILETS 3/8;;;;;;;;10;736
ISORIA 10;9972324707/800;100;10;;;3G 6K 6XV;;XV;;;;;2;737
F100-40-16;;100;10;;;;;;;;;;;738
PREMISEAL 38DW-112;09/2318200;32;16;;;;;EPDM;INOX;;;;10;739
RTS 67442A; ;80;10;;;;;;;;;;21;740
RTS 67442A;05/232841 2;100;10;;PN 1016;;;;;;;;21;741
FIG 14 102;;100;10;;;;;;;GG 25;;;10;742
FIG 14 102;127095;200;10;;;;INOX;EPDM;INOX 316;FONTE FT125;;JOINT A LEVRES;10;743
32W0080-D0S0SGE1M4I;10036285-24;80;16;;;;INOX;;INOX;A536 65 45 12;;;17;744
Fig 320-112;;150;16;;;;INOX;;INOX;GI;;;17;745
32W0150-DOSOSGE1M41;10025801-9;150;16;;;;;;;;;;17;746
32W0150-DOSOSGE1M41;10024807-18;150;16;;;;INOX;;INOX;A536 65 45 12;;;17;747
FIG 320 112;;150;10;;;;;EPDM collé;INOX;GG 25;;;17;748
32W0150-DOSOSGE1M41;10032789-23;150;16;;;;INOX;INOX;INOX;A536 65-45-12;;;17;749