NUM POSITIONNEUR;N° DE SERIE;SIGNAL ENTREE;REPERE CAME;FACE CAME;ACTION;FERMEE A;OUVERTE A;FOURNISSEUR POSITIONNEUR;technologie;LOI;PRES. ALIM.;type positionneur;SIGNAL SORTIE
107;PH13020399;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;6;Linéaire;8 bar max;ND 9103 HN/I56;
108;PH13020393;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;6;Linéaire;1,4 à 8 bar;ND 9103 HN/I56;
114;PH18110208;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;6;Linéaire;8 bar max;ND9102HN/I56;
138;PH19030543;;;;DIRECT;4 mA;20mA;25;6;LINEAIRE;8 bars max;ND9102HN/I56;
139;PH13020401;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;6;Linéaire;8 bar max;ND 9103 HN/I56;0,48 - 1,03 bar
140;PH13020397;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;6;Linéaire;8 bar max;ND 9103 HN/I56;
141;PH13020392;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;6;Linéaire;8 bar max;ND 9103 HN/I56;
142;PH13020400;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;6;Linéaire;8 bar max;ND 9103 HN/I56;
143;PH13020396;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;6;Linéaire;8 bar max;ND 9103 HN/I56;
145;PH15220868;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;6;Linéaire;1.8 bar;ND 9103HN/I52;
146;PH15370185;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;6;Linéaire;1.8 bar;ND 9103 HN/I56;
260;PH14500300;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;6;Linéaire;1,4 bar;ND 9103HN/I52;0,48 - 1,03 bar
304;PH10150303;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;6;linéaire;1,4 à 8 bar;ND 9102 HN/I56;
336;S8508 1990/23;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;4;Linéaire;;NE 624;
337;PH13090416;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;6;Linéaire;8 bar max;ND 9102HN;
384;S8508 1990/22;4 - 20 mA;;;INVERSE;20 mA;4 mA;25;4;linéaire;6 bar max;NE 624;
385;PH12510336;4 - 20 mA;;;;20 mA;4 mA;25;6;linéaire;8 bar max;ND 9102HN;
386;PH12510338;4 - 20 mA;;;;20 mA;4 mA;25;6;Linéaire;8 bar max;ND 9102HN;
390;PH12510337;4 - 20 mA;;;;20 mA;4 mA;25;6;linéaire;8 bar max;ND 9102HN;
392;S.9692;3 - 15 PSI;;;;0,2 bar;1 bar;25;7;Linéaire;10 bar max;NP 700;
393;S 7691 1989MK;4 - 20 mA;;;INVERSE;20 mA;4 mA;25;4;Linéaire;7,5 bar max;NE 624;
402;S.8507;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;4;Linéaire;;NE 624;0,2 - 1 bar
416;PH11210871;4 - 20 mA;;;;20 mA;4 mA;25;6;;1,4 à 8 bar;ND9103HN;
417;PH12510310;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;6;Linéaire;8 bar max;ND 9102HN;
429;S.6521;0,2 - 1 bar;0-100%;B;DIRECT;0,2 bar;1 bar;25;7;Linéaire;10 bar max;NP 624;
435;S 5080 1998 IS;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;4;Linéaire;;NE 624;
437;; ;;;;20 mA;4 mA;25;6;linéaire;10 bar max;ND 826/S1; 
438;PH12012335;4 - 20 mA;;;;4 mA;20 mA;25;6;Linéaire;8 bar max;ND9103HN;
468;PH09100844;4 - 20 mA;;;;4 mA;20 mA;25;6;Linéaire;8 bar max;ND 9102HN;
469;PH09100843;4 - 20 mA;;;;4 mA;20 mA;25;6;Linéaire;8 bar max;ND 9102HN;
471;;;;;;20 mA;4 mA;25;6;Linéaire;8 b max;ND9103HN/I56;
476;S7693 1989 IS;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;4;Linéaire;8 bar max;NE 624;0,2 - 1 bar
479;PH13090418;4 - 20 mA;;;;4 mA;20 mA;25;6;Linéaire;8 bar max;ND 9102HN;
480;PH13090422;4 - 20 mA;;;;12 mA;4 mA;25;6;Split Range;8 bar max;ND 9102HN;
485;PH10111098;4 - 20 mA;;;;20 mA;4 mA;25;6;Linéaire;1,4 à 8 bar;ND9103HN;
486;PH18510304;;;;;20 mA;4 mA;25;6;Linéaire;8 b max;ND9102HN/I56;
487;S.4812;0,2 - 1 bar;;;DIRECT;0,2 bar;1 bar;25;7;Linéaire;10 bar max;NP 624;3 - 15 PSI
490;PH10150302;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;6;Linéaire;8 bar max;ND 9106 HN/I56;
491;PH05210400;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;6;Linéaire;8 bar max;ND 9103HN;
493;2001250679;4 - 20 mA;;;;20 ma;4 mA;25;6;linéaire;2,5 - 8 bar;ND 8221/S1;
494;S6521;3 - 15 PSI;;;DIRECT;0,2 bar;1 bar;25;7;Linéaire;8 bar max;NP 624;
495;S 9870 1991926;4 - 20mA;;;;4ma;20ma;25;4;Linéaire;8 B MAX;NE 724;
496;2001250662;4 - 20 mA;;;;4 mA;20 mA;25;6;;8 bar max;ND 8221/S1;
497;PH13050081;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;6;Linéaire;8 bar max;ND9103HN;
513;PH19030435;;;;DIRECT;4mA;20mA;25;6;Linéaire;8 B max;ND9103HN/I56;
515;PH22080438;4-20 mA;;;DIRECT;4 mA;20 mA;25;6;Linéaire;8,5 bars max;ND9103HN/I56;
516;PH22080434;4-20 mA;;;DIRECT;4 mA;20 mA;25;6;Linéiare;8,5 bars max;ND9103HN/I56;
517;PH22080437;4-20 mA;;;DIRECT;4 mA;20 mA;25;6;Linéiare;8,5 bars max;ND9103HN/I56;
518;PH22080436;4 -20 mA;;;DIRECT;4 mA;20 mA;25;6;Linéiare;8,5 bars max;ND9103HN/I56;
520;PH02210595;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;6;Linéaire;2,5 - 8 bar;ND 8221/Y;
521;PH02210594;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;6;Linéaire;2,5 - 8 bar;ND 8221/Y;
527;PH19030544;;;;DIRECT;4 mA;20 mA;25;6;Linéaire;8 B max;ND9102HN/I56;
597;;;;;;;;25;8;;;;
598;;;;;;;;25;8;;;;
637;PH041764004V0H;4 - 20 mA;;;;;;25;6;;1,4 à 8 bar;ND9103HN;
640;PH19150387;4 - 20 mA;;;;4 mA;20 mA;25;4;Linéaire;1,4 bar;ND9102HN/I56;1,4 - 8 bar
641;PH02210594;4 - 20 mA;;;;4 mA;20 mA;25;4;Linéaire;2,5 bar;ND8221/Y;2,5 - 8 bar
644;PH19150387;4 - 20 mA;;;;4 mA;20 mA;25;4;Linéaire;1,4 bar;ND9102HN/I56;1,4 - 8 bar
645;PH02210594;4 - 20 mA;;;;4 mA;20 mA;25;4;Linéaire;2,5 bar;ND8221/Y;2,5 - 8 bar
646;9225;4 - 20 mA;;;;4 mA;20 mA;25;4;;8 bar max;NE 724;
647;PH09100842;4 - 20 mA;;;;4 mA;20 mA;25;6;Linéaire;8 bar max;ND 9102HN;
648;PH09070642;4 - 20 mA;;;;4 mA;20 mA;25;6;Linéaire;8 bar max;ND9103HN;
650;PH20110392;4  -20 mA;;;DIRECT;4 mA;20 mA;25;6;Lineaire;8 bars max;ND9106HN;
656;S8274;;;;;4 MA;20 MA;25;4;;;724;
666;C0019048;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;6;;1,4 à 8 bar;ND9103HN;
671;;4 - 20 mA;;;;4 mA;20 mA;25;6;Linéaire;8 bar max;ND 822/S1;
674;PH12510288;4 - 20 mA;;;;4 mA;20 mA;25;6;;1,4 à 8 bar;ND 9106 HN;
675;PH02210597;4 - 20 mA;;;DIRECT;4 mA;;25;6;Linéaire;2,5 - 8 bar;ND 8221/Y;
676;PH02210596;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;6;Linéaire;2,5 - 8 bar;ND 8221/Y;
677;S9682;0,2 - 1 bar;;;DIRECT;0,2 bar;1 bar;25;7;Linéaire;;NP 724;
681;S8503 1990/22;4 - 20 mA;;;DIRECT;4 mA;20 mA;25;4;Linéaire;8,5 bar max;NE 624;
155;PH19410280;4 - 20 mA;;;DIRECT;4 mA;20 mA;37;6;Linéaire;8 bar max;ND9102HN/I56;
439;;;;;;4 mA;20 mA;39;3;Linéaire;;Series 760;
74;PH1904141;;;;DIRECT;4 mA;20 mA;40;6;Linéaire;8 bars max;ND9102HN/I56;
253;890480;4 - 20 mA;11;B;DIRECT;4 mA;20 mA;41;4;Linéaire;3 - 6 bar;3772-0;
499;;0,2 - 1 bar;;;DIRECT;0,2 bar;1 bar;42;7;;;PMV;
11;;4-20Ma;;;DIRECT;4 Ma;20 Ma;43;2;Lineaire;8,5 bars max;ND9103HN/156;
21;;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;LINEAIRE;3 bars max;ND9103HN/I52;
22;PH19440401;4 - 20 mA;;;;4 mA;20 mA;43;6;;;ND9103HN/I52;
102;PH12510284;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;8 bar max;ND 9106 HN;
103;PH12510283;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;8 bar max;ND 9106 HN;
147;PH12170982;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;8 bar max;ND 9106 HN/I56;
198;PH12510601;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;1,4 à 8 bar;ND 9106 HN;
224;PH14050313;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;8 bar max;ND 9106 HN/I56;
225;PH16480328;4 - 20 mA;;;;4 mA;20 mA;43;6;Linéaire;;ND 9106 HN;
226;PH10150302;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;8 bar max;ND 9106 HN/I56;
227;PH12170978;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;8 bar max;ND 9106 HN/I56;
228;PH12170977;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;8 bar max;ND 9106 HN/I56;
231;PH13020411;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;8 bar max;ND 9106 HN/I56;
233;PH170040457;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;linéaire;8 bar max;ND 9106 HN/I56;
235;PH170040456;4 - 20 mA;;;DIRECT;4 Ma;20 mA;43;6;linéaire;8 bar max;ND 9106 HN/I56;
237;PH14060370;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;8 bar max;ND 9106 HN/I56;
239;PH170040458;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;8 bar max;ND 9103 HN/I56;
241;PH170040459;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;8 bar max;ND 9103 HN/I56;
242;;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;;;ND 9106 HN/I56;
243;PH14050314;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;8 bar max;ND 9106 HN/I56;
244;PH12170974;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;8 bar max;ND 9106 HN/I56;
245;PH12170975;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;8 bar max;ND 9106 HN/I56;
246;PH12170976;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;8 bar max;ND 9106 HN/I56;
249;PH14200341;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;8 bar max;ND 9103 HN/I56;
251;PH170040453;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;8 bar max;ND 9106 HN/I56;
252;PH16480327;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;8 bar max;ND 9103 HN/I56;
254;PH17040455;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;8 bar max;ND 9103 HN/I56;
255;PH14500299;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;8 bar max;ND 9106 HN/I56;
256;;4 - 20 mA;;;;4 mA;20 mA;43;6;Linéaire;8 bar max;ND 9102 HN/I56;
258;2001250493;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;2,5 - 8 bar;ND 822/S1;
259;;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;;8 bar max;ND 9102 HN/I56;
264;PH08260643;4 - 20 mA;;;;4 mA;20 mA;43;6;Linéaire;1,4 à 8 bar;ND 9106 HN;
273;PH03170577;4 - 20 mA;;;;4 mA;20 mA;43;6;Linéaire;2,5 - 8 bar;ND 822/S1A;
307;PH20190291;4-20Ma;;;DIRECT;4 Ma;20 Ma;43;2;Lineaire;8 bars max;ND103HN/156;
381;PH15370186;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;10 bar max;ND 9103 HN;
388;PH18480182;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;8 bars max;ND9103NH/I56; 
389;PH032206637;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;2,5 - 8 bar;NDS 822/S1A;
391;PH02140554;4 - 20 mA;;;;4 mA;20 mA;43;6;;8 bar max;ND 822/S1; 
394;PH10150302;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;1,4 à 8 bar;ND 9102 HN/I56;
415;PH12120707;;;;;4 mA;20 mA;43;6;Linéaire;8 bar max;ND 9103 HN;
428;;4 - 20 mA;;;;4 mA;20 mA;43;6;Linéaire;;ND 9103 HN;
472;PH12120744;4 - 20 mA;;;;20 mA;4 mA;43;6;linéaire;8 bar max;ND 9103 HN;
474;PH12120751;4 - 20 mA;;;;20 mA;4 mA;43;6;linéaire;8 bar max;ND 9103 HN;
478;PH06160190;4 - 20 mA;;;DIRECT;4 mA;20 mA;43;6;Linéaire;1,4 à 8 bar;ND 9103 HN;
482;PH02200071;4 - 20 mA;;;;20 mA;4 mA;43;6;linéaire;2,5 - 8 bar;ND8261/S1;
672;PH17040452;4 - 20 mA;;;;1 bar;0,2 bar;43;6;Linéaire;1,4 - 8 bar;ND 9106HN I56;3 - 15 PSI
673;;4 - 20 mA;;;;4 mA;20 mA;43;6;linéaire;3 bar;ND 9106HN I56;
664;211521;4 - 20 mA;;;;;;44;6;;1,4 bar;Namur;
665;211521;4 - 20 mA;;;;;;44;6;;1,4 bar;Namur;